time	puk	pus
1974Q1	96.38	117.39
1974Q2	102.90	121.56
1974Q3	106.99	130.19
1974Q4	112.76	134.73
1975Q1	120.57	134.70
1975Q2	127.27	136.14
1975Q3	131.18	139.06
1975Q4	136.02	140.55
1976Q1	141.79	141.26
1976Q2	146.25	143.33
1976Q3	152.21	145.06
1976Q4	159.84	146.37
1977Q1	169.14	149.60
1977Q2	176.96	153.20
1977Q3	182.54	153.38
1977Q4	185.14	155.19
1978Q1	189.24	158.94
1978Q2	192.77	163.71
1978Q3	196.49	166.23
1978Q4	199.47	170.01
1979Q1	204.87	176.18
1979Q2	212.68	182.45
1979Q3	223.29	188.14
1979Q4	229.06	194.77
